lungs,الرئتين,"бели дробове
",lungs,pulmonar,poumons,pulmões,"
легких",плућа,肺,poumon,mapafu,polmoni,फेफड़ों,akciğer,ריאות,baga,Bibukya,Mahaha,MAHAHA (BAFUFWA)
digestive_tract,الجهاز الهضمي,храносмилателния тракт,digestive tract,digestivo,digestif,trato digestivo,пищеварительного тракта,дигестивног тракта,消化道,aparèy dijestif,njia ya utumbo,tratto digestivo,पावन मार्ग,Sindirim yolu, צינור העיכול ,tiyan,Mnda,Enjira ebiryo bigera mo,BYA MUNDA
reproductive_system,الجهاز التناسلي,репродуктивната система,reproductive system,reproductivo,reproductif,sistema reprodutivo,Репродуктивной системы,репродуктивни систем,生殖系统,sistèm repwodiksyon ,mfumo wa uzazi,sistema riproduttivo,प्रजनन प्रणाली,Üreme sistemi, רבייה מערכת ,Sistemang Reproductive,Ibuta,By'obubusi,BYO KUBUTA
endocrine_system,نظام الغدد الصماء,ендокринната система,endocrine system,endocrino,endocrinien,sistema endócrino,эндокринной системы,ендокриног система,内分泌系统,sistèm andokrinyen,endocrine mfumo,sistema endocrino,endocrine प्रणाली,Endokrin (iç salgı bezleri) sistemi,האנדוקרינית מערכת ,Sistemang Endokrina,Elembako 'yi' wateleca binge bilembako l'amba byangene m'mwenko,Ciungo cikolesa omubiri,IKIRUMBU IKIMUTABALA IBINDI UKUKOLA BWIJA
muscles_and_bones,العضلات والعظام,мускулно-скелетната система,muscles and bones,musculo-esquelético,musculo-squelettique,musculo-esqueletico,мышц и костей,мишићи и кости,肌肉和骨骼,misk ak zo,misuli na mifupa,i muscoli e le ossa,मांसपेशियों और हड्डियों,Kaslar ve kemikler, ועצמות שרירים ,kalamnan at mga buto,Misuna,Eminyafu y'omubiri,MUNYAMA N’AMAVUHA
do_you_take_meds,هل تتعاطي الأدوية و/أو الفيتامينات؟,Взимате ли медикаменти и / или витамини?,Do you take medication and/or vitamins?,¿Toma medicación y / o vitaminas?,Prenez-vous des médicaments et / ou des vitamines?,Você toma medicação e / ou vitaminas?,Вы принимаете лекарства и / или витамины?,Да ли узимате лекове и / или витамина?,您有服用药物或维生素吗？,Èske w ap pran medikaman ak / oswa vitamin?,Ni wewe kuchukua tiba yoyote na / au vitamini?,Avete preso farmaci e / o vitamine?,क्या आप ड्रग्स और / या विटामिन लिया है?,ilaç ve / veya vitamin alıyor musunuz?,? ויטמינים או/ו תרופות נוטל אתה האם  ,Umiinom ba kayo ng gamot at / o mga bitamina?,Ukyusola mite hange bitamini? Hange nite y'ebembe?,K'onanywe obufumu?,KO’MUNYWA I’MITI KANDIRI BITAMINI?
do_you_have_list_of_meds,إن كان لديك قائمة بالأدوية التى تتعاطاها هل من الممكن أن تطلعنا عليها؟؟,"Имате ли списък на вашите лекарства, които можете да покажете ни?",Do you have a list of your medications that you can show us?,¿Tiene usted una lista de sus medicaciones qué usted puede mostrarnos?,Avez-vous une liste de vos médicaments que vous pouvez nous montrer?,Você tem uma lista dos seus medicamentos que você pode nos mostrar?,"У вас есть список ваших лекарств, которые вы можете показать нам?",Да ли имате листу ваших лекова за нас?,您可以提供您服用的药物列表吗？,Èske ou gen yon lis medikaman wap pren pou ou ka montre nou?,Je una orodha ya dawa zako kwamba unaweza kuonyesha sisi?,Avete una lista dei vostri farmaci che  può mostrarci?,"आप अपनी दवाओं की एक सूची है, जो हमें दिखा सकते हैं?",bize gösterebileceğiniz bir ilaç listeniz var mı?,לנו? יכולהראות שאתה שלך התרופות של רשימה לך יש האם ,Mayroon ba kayong listahan ng mga gamot na iniinom ninyo?,Unaba na lusalango lwa yobe mite undoche heyo?,K'ogwerhe olukere lw'obufumu bwawe orhuyereke lo?,"KOGWETI  U’ MUHARURO GWE  MITI YAWE, KA WANGA TUYEREKA YO? "
which_meds_do_you_take,إن كانت الاجابة (لا) هل تتعاطى أدوية حالياً؟,"Ако не, какви медикаменти Взимате ","If not, which medications do you take","¿Si no, qué medicaciones toma usted?","Si non, quels médicaments prenez-vous?","Se não, quais remédios você toma?
","Если нет, какие лекарства вы принимаете","Ако не, шта лекове узимате",如果没有，您服用的药物為,"Si no, di nou ki medikaman w pran","Kama siyo, ambayo dawa gani unaweza kuchukua","Se no, quali farmaci prendete","यदि नहीं, क्या दवाएं तुम ले","Eğer yoksa, Hangi ilaçları kullanıyorsunuz?","אם ,לא אילו תרופות אתה ?לוקח ","Kung wala, anong mga gamot ang inyong iniinom?",Anga tabile bibyo u ky'usoloa mite beni?,"Akaba nanga, bufumu buhi onywa?","IRINANGA, I’MITI MIKI UMUNYWA?"
do_you_have_allergies,هل لديك أي نوع من الحساسية :,Имате ли някакви алергии:,Do you have any allergies:,¿haga usted tiene alergias al:,Avez-vous des allergies:,Você tem alergias?,у вас есть какие-либо аллергии на,Да ли имате било каквих алергија:,您有任何过敏症吗:,Èske ou kon gen  alèji:,"Je, una allergy yeyote:",Avete delle allergie:,क्या आपको कोई एलर्जी है:,Herhangi bir alerjiniz var mı:,:אלרגיות לך יש האם ,Mayroon ba kayong mga Alerhiya?,Ikyuuubakanya,Ka binalahire omubiri gwawe?,KA’GAKUGIRA BULIGO?
to_medication,الى الدواء,Към медикаменти,To medication,medicamentos,Aux médicaments,À medicação,медицинский препарат,за лекове,药物 ,Medikaman,kwa dawa,Al farmaci,दवाओं के लिए,ilaç tedavisi için,לתרופות,sa gamot,U mite?,Oku bufumu,KUMITI?
to_food,للغذاء,Към храна,To food,alimentos,A la nourriture,À alimentação, еду,За храну,食物,ak manje,Kwa chakula,Al cibo,भोजन करने के लिए,Gıda/ beslenme için,למזון,sa pagkain,U bilebwa?,Oku biryo,KUBYOLULYA?
day_month_year,اليوم / الشهر / السنة,ДД / ММ / ГГГГ,DD/MM/YYYY,Día / Mes / Año,Jour / Mois / Année,Dia / Mês / Ano,ДД/ММ/ГГГГ,дан / месец / година,DD / MM / YYYY,jou/mwa/ane,siku / mwezi / mwaka,GG / MM / AAAA,DD / MM / YYYY,GG / AA / YYYY,שנה/חודש/ יום ,araw/buwan/taon AA/BB/TTTT,Lukusu/mweci/mwa'a,Lusiku/Mwezi/Mwaka,LUSIKU – U’MWEZI – U’MWAKA
stool,البراز,изпражненията,stool,heces,selles,fezes,кал,измет,粪便呈血,poupou ,kinyesi,feci,मल - विषयक,dışkı,צואה,dumi ng tao,M tubi,Mazi,MYANDA
stool_black,براز أسود,черно изпражненията,black stool,heces negras,selles noires,fezes pretas,черный кал,црна измет,红血大便,poupou nwa ,"
nyeusi kinyesi",feci neri,अश्वेतों किया,Siyah dışkı,שחורה צואה ,itim na dumi ng tao,Tubi twa m milu,Mazi miru,I’MYANDA MIIRU
stool_red,وجود دم أحمر مع البراز,червена кръв с изпражненията,red blood with stool,sangre roja con heces, sang rouge avec selles,sangue vermelho com fezes,красная кровь с кал,црвених крвних изметом,红血大便, poupou wouj,nyekundu za damu katika kinyesi,feci rossi di sangue,मैं लाल रक्त,Kanlı Dışkı,צואה עם אדום דם ,dugo sa dumi,mshi wa tuula mtubi,Muko mudukula omu mazi,U’MUKO MU MYANDA
,,,,,,,,,,,,,,,,,,,
yes__first_time,,,,,,,,,是 ,,,,,,,,,,
yes__take_meds,,,,,,,,,有,,,,,,,,,,
yes__have_list,,,,,,,,,可以,,,,,,,,,,
no__first_time,,,,,,,,,不是,,,,,,,,,,
no__take_meds,,,,,,,,,无,,,,,,,,,,
no__have_list,,,,,,,,,没有,,,,,,,,,,
specify__handicap,,,,,,,,,請具体說明,,,,,,,,,,
specify__med_allergy,,,,,,,,,請具体說明,,,,,,,,,,
specify__food_allergy,,,,,,,,,请具体说明,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
instructions_start,مكن ترجمة هذا الاستبيان على الفور إلى لغات عديدة.,Този въпросник може да бъде незабавно преведен на много езици.,This questionnaire can be instantly translated into many languages.,Este cuestionario puede ser inmediatamente traducido a muchos idiomas.,Ce questionnaire peut être instantanément traduit en de nombreuses langues.,Este questionário pode ser imediatamente traduzido em muitas línguas.,Эта анкета может быть мгновенно переведены на многие языки.,Овај упитник могу одмах преведена на многе језике.,此问卷可以立即翻译成多国语言。,"Kesyonè sa tradui nan plizyè lang konye la, si nou vle.",Hojaji hii inaweza instantly kutafsiriwa katika lugha nyingi.,Il questionario può essere immediatamente tradotto in molte lingue.,इस प्रश्नावली को तुरन्त कई भाषाओं में अनुवाद किया जा सकता है.,Bu anket birçok dile anında tercüme edilebilir.,לשפות מיידי באופן מתורגם להיות יכול  זה רבות.שאלון ,Palatanungan na ito ay maaaring agad na isinalin sa maraming mga wika.,Cino ndocibwa cinakalulwa mtutendeci cwa manga ,Aga madoso ganahindulwa ca ligumiza omu ndimi nyinji,YIBI BIBUZO BYANGA HINDULWA DUBADUBA MUNDETO NYINGI.
instructions_step_1_title,الخطوة 1:,Стъпка 1:,Step 1,Paso 1: ,Étape 1: ,Passo 1:,Шаг 1: ,Корак 1: ,第1步：,Etap 1:,Hatua ya 1: ,Fase 1:,चरण 1: ,1. Adım:,1: שלב ,Hakbang 1,Ehe'a 'yubale' a,Olukere lurhanzi,UBUTAZI
instructions_step_1_text, إكمال الاستبيان في لغتك المفضلة,попълнете въпросника на предпочитания от Вас език,Fill out the questionnaire in your preferred language.,Completar el cuestionario en su idioma preferido,Remplissez le questionnaire dans votre langue préférée,preencher o questionário no seu idioma preferido,Заполните анкету на вашем родном языке.,попуните упитник у жељеном језику,在您的首选语言完成的调查问卷,ranpli kesyonè a nan lang ou pi pito,wakamilishe hojaji katika lugha unayopendelea, compilare il questionario in una lingua a scelta,अपनी पसंद की भाषा में प्रश्नावली पूरा,Tercih ettiğiniz dilde anketi doldurun,השאלון את מלא עליךהמועדפת בשפה,Punan ang palatanungan sa iyong ginustong wika.,Kyeca ndoci bwa m m'obe atendeci u'undelela,Yunjuza amadoso omu lulimi osimire,UHINDULE IBIBUZO MU LUDETO LWO SIMIRI
instructions_step_2_title,الخطوة 2:,Стъпка 2:,Step 2,Paso 2: ,Étape 2:,Passo 2: ,Шаг 2: ,Корак 2: ,第2步：,Etap 2:,Hatua ya 2: ,Fase 2: ,चरण 2:,2. Adım:,:2 שלב ,Hakbang 2,Ehe'a 'ya abele,Olukere lwa kabirhi,UBWAKABIRI
instructions_step_2_text,رجمة الاستبيان الخاص الانتهاء إلى لغة المؤقتة الخاصة بك عن طريق النقر على العلم المناسب أو اسم اللغة. جميع البيانات سوف تبقى خاصة على جهازك ولن ينتقل إلى أي ملقم.,преведете попълнения въпросник на езика на Вашия служител като кликнете върху съответния флаг или име на езика. Всички данни ще останат само на Вашето устройство и няма да се прехвърлят на сървър.,Translate your completed questionnaire into the language of your caretaker by clicking on the appropriate flag or language name. All data will remain private on your device and will not be transmitted to any server.,"Traducir el cuestionario completo en el idioma de su cuidador, haga clic en la bandera correspondiente o el nombre del idioma. Todos los datos se mantendrá en privado en el dispositivo y no se transmitirá a cualquier servidor.", Traduisez le questionnaire rempli dans la langue de votre infirmier(ère) ou médecin en cliquant sur ​​le drapeau ou le nom correspondant à sa langue. Toutes les données resteront sur votre appareil et ne seront pas transmises à un serveur.,"Traduzir o questionário preenchido na língua do seu cuidador, clicando na bandeira apropriada ou nome da língua. Todos os dados permanecerão privados no seu dispositivo e não serão transmitidas para qualquer servidor.",Переведите заполненную анкету на язык другой страны нажав на соответствующий флаг или название языка. Все данные останутся конфиденциальными на вашем устройстве и не будут передаваться на другой сервер.,Преведи свој попуњени упитник на језик вашег чувар кликом на одговарајућу заставу или имена језика. Сви подаци ће остати приватна на уређају и неће се пренети на било ком серверу.,通过点击相应的标志或语言的名称翻译的语言，您的看守政府已完成的问卷。私人设备上的所有数据都将不会被传输到任何服务器。,"Tradui kesyonè ou fin ranpli a nan lang la nan moun k ap okipe ou.  Pou ou fè sa, ou anik klike sou drapo ki vle di lang la oswa ou anik klike non lang lan. Tout done yo ap rete prive sou aparèy ou epi yo pa pral transmèt nan nenpòt lòt sistem odinatè.",Kutafsiri dodoso yako kukamilika katika lugha ya caretaker yako kwa kubonyeza bendera sahihi au jina lugha. Data zote utabaki binafsi kwenye kifaa chako na si kupitishwa kwa seva yoyote.,"Una volta compilato, tradurre il questionario nella lingua del l'assistente cliccando sulla bandiera appropriata oppure sul nome della lingua. Tutti i dati rimarranno privati sul dispositivo e non saranno trasmessi su alcun server.",चरण 2: अपने कार्यवाहक की भाषा में उचित झंडा या भाषा के नाम पर क्लिक करके अपना पूरा प्रश्नावली अनुवाद. सभी डेटा अपने डिवाइस पर निजी रहते हैं और किसी भी सर्वर से प्रेषित किया जा नहीं होगा.,Anketi bitirdiğinizde uygun ülke bayrağı veya dil seçimini tıklayarak anketi sağlık görevlinizin diline çeviriniz. Ankete girdiğiniz tüm bilgileriniz cihazınızda güvenle muhafaza edilecektir ve herhangi bir sunucuya aktarılmayacaktır., תרגם את השאלון לשפת המטפל שלך על ידי לחיצה על הדגלהמתאים או שם השפה. כל הנתונים יישארו פרטיים במכשיר שלך ולא יועברו לשרת.,Isalin ang iyong nakumpletong palatanungan sa wika ng iyong bantay sa pamamagitan ng pag-click sa naaangkop na pangalan ng bandila o wika. Lahat ng data ay mananatiling pribado sa iyong aparato at hindi ay ipinadala sa anumang server.,Misahu yose yushikala mwo be m'mesalangelu ushile ihilela waumwa hose,Hindula amadoso omu lulimi lwa munganga wawe omu kuhuma oku ibendera ly'izino lilinganine n'olulimi,UHINDULE IBIBUZO WA YIZUZA MU LUDETO LWO MUFUMU WAWE MUKU SHONGA KU LEMBERA KANDI RI KW’I IZIMA IRITUNGINI N’OLUDETO LWAGE IBIKWAINIBTYOSHI UGABIGWANA MU KIKOL ANWA KYAWE BITAGA NA LUNGIKWA MU BUNDI BULYO. (IZINA IRI KWANINI (ISHUSHINI) NE NDETO YAYO)
disclaimer_start,,"С разглеждането на материала в този сайт разбирате и приемате, че:",By viewing the material on this site you understand and accept that:,Al ver el material en este sitio usted entiende y acepta que:,"En visionnant le matériel sur ce site, vous comprenez et acceptez que:",Ao ver o material neste site você entende e aceita que:,"Просматривая материалы на этом сайте вы понимаете и принимаете, что:",По прегледате материјал на овом сајту можете схватити и прихватити да:,通过查看本网站的材料，你了解并同意：,Lè ou gade materyèl la sou sit sa a ou konprann epi ou aksepte ke:,Kwa kuangalia nyenzo kwenye tovuti hii kuelewa na kukubali kwamba:,"Dalla revisione del materiale su questo sito, lei capisce ed accetta che:",आप इस साइट पर सामग्री को देखने से समझते हैं और स्वीकार करते हैं कि:,"Siteye erişmek, siteyi görüntülemek veya kullanmak vasıtası ile aşağıda belirtililen maddeleri anladığınızı ve kabul ettiğinizi bildirmiş olmaktasınız:",כצופה בחומר המוצג באתר את/ה מבין/ה ומקבל/ת כי:,"Sa pagbasa at pag-gamit ng nilalaman ng site na ito, sumasang-ayon kayo na:",Wilola bitu m'mbuno buci'e mwa bange'ca na mwa 'waca nibo:,Ebiwalonz'okumanya byoshi byayankirirwa ci birhamany ikane n'owundi muntu.,MUKOLOLEKEZA Y IBIBIKOLANWA HANO HANDU:
disclaimer_1,,"· Въпросници, използвани в този сайт са продукт на автора или авторите и не отразяват непременно тези, които се използват от други медицински организации.",The questionnaires used on this site are the product of the author or authors and do not necessarily reflect those used by other medical organizations,Los cuestionarios utilizados en este sitio son el producto de su autor o autores y no reflejan necesariamente las de otras organizaciones médicas.,Les questionnaires utilisés sur ce site sont le fruit de l'auteur ou des auteurs et ne reflètent pas nécessairement ceux utilisées par d'autres organisations médicales.,"Os questionários usados ​​neste site são o produto do autor ou autores e não refletem, necessariamente, aqueles usados ​​por outras organizações médicas.","Вопросники, используемые на данном сайте, являются произведением автора или авторов и не обязательно отражают те, что используются другими медицинскими организациями.",Упитници се користе на овом сајту су производ аутора или аутора и не одражавају оне које користе друге медицинске организације.,本网站使用的调查问卷作者或作者的产品，并不一定反映其他医疗机构使用。,Kesyonè yo itilize sou sit sa a se pwodwi a nan otè yo epi sa pa nesesèman reflete sa pa lòt òganizasyon medikal ka itilize.,Dodoso inayotumiwa kwenye tovuti hii ni bidhaa ya mwandishi au waandishi na si lazima kutafakari wale kutumiwa na mashirika mengine ya matibabu.,I questionari utilizzati in questo sito sono il prodotto del o degli autori e non rispecchiano necessariamente quelli utilizzati da altre organizzazioni mediche.,इस साइट पर इस्तेमाल किया प्रश्नावली लेखक या लेखकों के उत्पाद हैं और अन्य चिकित्सा संगठनों द्वारा इस्तेमाल किया उन को प्रतिबिंबित नहीं.,Bu sitede kullanılan anketler araştırmacılar tarafından hazırlanmıştır ve diğer sağlık kuruluşlarınca kullanılan anketlerden farklılık gösterebilir.,השאלונים המוצגים באתר הם מוצר של המחבר/ים ולא בהכרח משקפים שאלונים המוצגים על ידי ארגונים רפואיים אחרים.,Ang mga katanungan dito ay likha at gawa ng mga may-akda. Maaaring hindi ito ang ginagamit ng ibang mga organisasyong panggamot.,Cino ndocibwa bile bikuma bya msalangi hange basalangi taca aky'u loca binaÔlwa na henge mihembe ya bute'e,Oyemere onayunve oku aga madoso garhayerekiri ngasi mango ebikolesibwa n'eyindi milungano y'abanganga.,MUGASOBANUKIRWA N’OKUYEMERA KWO IBIBUZO IBIRIHANO BIRI BITUMBWE BYA NABYO KANDI IRI BYA BENE NABYO HALIKO BITAYERESIRI BWENENE IBIKAKOLESIBWA N’EGINDI MIKUNGI Y’ABAFUMU.
disclaimer_2,, Провеждане на материал на SpeakSafeCare сайт не означава потвърждение на този материал от други медицински организации.,The hosting of material on the SpeakSafeCare site does not signify endorsement of this material by other medical organizations,El alojamiento del material en el sitio SpeakSafeCare no significa aprobación de este material por otras organizaciones médicas.,L'utilisation du questionnaire sur le site SpeakSafeCare ne signifie pas l'approbation du questionnaire par d'autres organisations médicales.,A hospedagem de material no site SpeakSafeCare não significa endosso deste material por outras organizações médicas.,Хостинг материала на SpeakSafeCare сайте не означает одобрения этого материала другими медицинскими организациями.,Тхе хостинг материјала на сајту SpeakSafeCare не значи одобрење тог материјала од стране других медицинских организација.,·托管的SpeakSafeCare网站上的材料并不意味着赞同这种材料由其他医疗机构。,Kimbe materyèl sou sit yo rele SpeakSafeCare pa siyifi lòt òganizasyon medikal bay andòsman nan materyèl sa.,Kulifadhi kwa nyenzo kwenye tovuti SpeakSafeCare haina dhibitisho kubwa ya nyenzo hii na mashirika mengine ya matibabu.,L'hosting di materiale sul sito SpeakSafeCare non significa che questo materiale sia stato approvato da altre organizzazioni mediche.,SpeakSafeCare साइट पर सामग्री की मेजबानी इस सामग्री के अन्य चिकित्सा संगठनों द्वारा समर्थन नहीं दर्शाता है.,"SpeakSafeCare sitesinden ulaştığınız bilgi, ürün ve servisler diğer tıbbi kuruluşlar tarafından onaylanmamış olabilir.",אירוח החומר באתר SpeakSafeCare לא מהווה אישור של החומר המוצג על ידי ארגונים רפואיים אחרים.,Ang pag-host ng mga nilalaman dito sa SpeakSafeCare site ay hindi nagbibigay-katibayan ng pagsang-ayon ng ibang mga organisasyong panggamot.,Buambi bwa ndocibwa m'mbuci'e speaksafecare tabyalangisha i'wacibwa lya ndocibwa nahenge mihembe ya bute'e,Okukolesa amadoso oku njira speaksafecare kurhali kuyemera kwa'amadoso n'evindi bigamba by' abanganga,IBIBUZO BIKOLESIZWI HANO SPEAKSAFECARE BITASOBANWIRI UKU YEMERWA N’EGINDI MIKUNGI Y’A BAFUMU.
disclaimer_3,,"Материалът е единствено за образователни цели за квалифицирани специалисти, здравните и пътници.",The material is solely for educational purposes for qualified health care professionals and travellers alike,El material es únicamente con fines educativos para los profesionales de la salud calificados y viajeros por igual.,Le questionnaire est uniquement à utiliser pour des fins éducatives par des professionnels de la santé qualifiés et des touristes.,O material é apenas para fins educacionais para profissionais de saúde qualificados de cuidados e viajantes.,Материал предназначен исключительно для образовательных целей для квалифицированных медицинских работников и туристов.,Материјал је само за образовне сврхе за квалификоване стручњаке здравствених и путнике подједнако.,·材料是完全合格的医疗保健专业人士和游客的教育目的。,Materyèl la se sèlman pou rezon edikatif pou pwofesyonèl medikal kalifye an mem tan ak pou vwayajè.,Ni nyenzo tu kwa madhumuni ya kielimu kwa waliohitimu wataalamu wa afya na wasafiri sawa.,Il materiale è esclusivamente a fini didattici per gli operatori sanitari qualificati e viaggiatori.,सामग्री केवल योग्य स्वास्थ्य देखभाल पेशेवर और यात्रियों के लिए एक जैसे शैक्षिक उद्देश्यों के लिए है.,Bu site sağlık uzmanları ve seyahattekiler için tamamen eğitim amaçlı hazırlanmıştır,החומר המוצג באתר הינו לצורך מטרות לימוד בלבד לאנשי מקצוע בתחום הרפואה ולמטיילים.,Ang pag-host ng materyales ng SpeakSafeCare site ay hindi nagpapatalagang sumasang-ayon ang ibang mga organisasyong panggamot sa mga nasabing materyales.,Ndocibwa cile mu'ambecibwa lumbaka lwa ihikeca na baambi ba mweko,Amadoso ganakolesibwa oku mukolo gw'okuyigiriza oku bakozi b'ecinganga erhi abatursite.,IBIBUZO BIKOLESIZWI NAHO KU MAYIGIRIZO G’ABAHINGA B’OBUFUMU N’ABABALAMU
disclaimer_4,," SpeakSafeCare не носи отговорност за всяко решение или действие, предприето въз основа на информацията, съдържаща се в материалите на този сайт.",SpeakSafeCare is not liable for any decision made or action taken based on the information contained in the material on this site,SpeakSafeCare no se hace responsable de cualquier decisión o acción tomada sobre la base de la información contenida en el material de este sitio.,SpeakSafeCare n'est pas responsable de toute décision ou mesure prise sur la base de l'information contenue dans le questionnaire sur ce site.,SpeakSafeCare não se responsabiliza por qualquer decisão ou ação tomada com base na informação contida no material neste site.,"SpeakSafeCare не несет ответственности за любые решения или действия, принятые на основе информации, содержащейся в материале на этом сайте.",SpeakSafeCare није одговоран за било одлуке или радње предузете на основу информација садржаних у материјалу на овом сајту.,·SpeakSafeCare是不承担任何责任所做的任何决定或采取的行动的基础上对本网站所包含的信息。,SpeakSafeCare se pa responsab pou nenpòt ki desizyon ki pran oswa aksyon ki baze sou enfòmasyon ki nan materyèl la sou sit sa a.,SpeakSafeCare si yeye binafsi kwa uamuzi wowote alifanya au hatua zilizochukuliwa kutokana na habari zilizomo katika nyenzo kwenye tovuti hii.,SpeakSafeCare non è responsabile per qualsiasi decisione presa o azione intrapresa in base alle informazioni contenute nel materiale in questo sito.,SpeakSafeCare साइट पर सामग्री की मेजबानी इस सामग्री के अन्य चिकित्सा संगठनों द्वारा समर्थन नहीं दर्शाता है.,"SpeakSafeCare bu sitesinden ulaştılan bilgi, ürün ve servislerin içerdiği bilgilere dayanarak alınan kararlar veya yapılan eylemlerden sorumlu değildir.",חברת המידע המוצג באתר איננו  SpeakSafeCare אינה אחראית על כל החלטה או פעולה ,"Ang mga nilalaman ay dapat lamang gamitin ng mga may-kakayahang propesyonal sa larangan ng kalusugan at paggamot, at ng mga manlalakbay.",speaksafecare tahena shinge'a misahu ya ndocibwa m'mbuci'e,Speaksafecare arhali wakurhola ngasi mihigo erhozirwe kurhenga oku madoso.,IBIBUZO BIKOLESIZWI NAHO KU MAYIGIRIZO G’ABAHINGA B’OBUFUMU N’ABABALAMU
disclaimer_5,,Информацията не може да се използва като заместител на професионална грижа.,The information cannot be used as a substitute for professional care,La información no puede ser utilizado como un sustituto de la atención profesional.,L'utilisation du questionnaire ne peut pas être utilisé comme un substitut pour des soins de santé  professionnels.,A informação não pode ser utilizado como um substituto para o profissional de saúde.,Информация не может быть использован в качестве замены для профессионального ухода.,· Информације не може да се користи као замена за професионалном пажњом.,信息不能被用来作为替代品的专业护理。,Enfòmasyon an pa ka sèvi kòm yon ranplasman pou swen pwofesyonèl.,Habari haiwezi kutumika kama mbadala kwa ajili ya huduma ya utaalamu.,L'informazione non può essere utilizzata come sostituto alla cura professionale.,"
· सामग्री केवल योग्य स्वास्थ्य देखभाल पेशेवर और यात्रियों के लिए एक जैसे शैक्षिक उद्देश्यों के लिए है.","Bu sitesinden ulaştığınız bilgi, ürün ve servisler profesyonel sağlık hizmeti yerine geçmez.", תחליף לטיפול רפואי.שננקטה בהסתמך על המידע המוצג באתר,"Hindi pananagutan ng SpeakEasyCare ang anumang pagpapasiyang isasagawa dulot ng kaalaman at impormasyong galing sa site na ito

",Ndocibwa cina'ambecibwa ite m'wa teleco mlu buu,Amadoso garhahindwirwi okubuka endwala.,HANO SPEAKSAFECARE ATAHITI UBUSHOB’OZI BWO KUSHUNGIKA IMYAAZI IRIRI MU BINO BIBUZO. 
disclaimer_6,,Информация не представлява стандарт на лечение.,The information does not represent a standard of care,La información no representa un estándar de cuidado.,L'information présenté sur le site ne représente pas une norme de soins.,A informação não representam um padrão de atendimento.,Информация не является стандартом лечения.,· Информације не представљају стандард неге.,·信息，并不代表一个标准的护理。,Enfòmasyon sa a pa reprezante yon estanda nan swen.,Habari haina kuwakilisha kiwango cha huduma.,Le informazioni non rappresentano uno standard di cura.,· सामग्री केवल योग्य स्वास्थ्य देखभाल पेशेवर और यात्रियों के लिए एक जैसे शैक्षिक उद्देश्यों के लिए है.,"Bu sitesinden ulaştığınız bilgi, ürün ve servisler standard sağlık hizmetilerinden farklılık gösterebilir.",המידע המוצג באתר אינו מהווה תקן לטיפול רפואי.,Ang impormasyong napaloloob ay hindi pamalit sa pag-alagang propesyonal. Ang impormasyong napaloloob ay hindi sukatan ng antas ng pag-aalagang kalusugan.,Msahu wa locibwa m'mbuci'e tawaloca benebene ya lubuu,Emyanzi obwizirwe oku lukere erhayerekini enjira z'okubuka. Nta njira ehali egarhi ka munganga n'omulwala,"UKUKOLEESA BINO BIBUZO, BITANGAKOLESIBWA N’GAA KINDU IKYANGAGENDA AHANDU HO BUFUMU BUGENDERIRI."
disclaimer_7,,Няма лекар-пациент се установява.,No physician-patient relationship is being established,No hay relación médico-paciente se está estableciendo.,Aucune relation médecin-patient est mis en place.,Nenhuma relação médico-paciente está sendo estabelecida.,Нет взаимоотношений врача и пациента устанавливается.,· Не лекар-пацијент однос је успостављен.,·任何一个医生与病人的关系正在建立。,Pa gen relasyon doktè-pasyan ki etabli la.,Hakuna uhusiano ya daktari na mgonjwa ni kuwa imara.,Nessuna relazione medico-paziente viene stabilita.,"· सूचना देखभाल के एक मानक का प्रतिनिधित्व नहीं करता.
कोई चिकित्सक रोगी संबंध स्थापित किया जा रहा है.",Bu site hiçbir hekim-hasta ilişkisi niteliği taşımaz.,"יחסי מטפל-מטופל אינם תקפים.

","Walang kaugnayang itinatatag dito sa pagitan ng doktor at ng pasyente

",Tusalangele u Speaksafecare@gmail.com,Amadoso orhuyandikire kuli speaksafecare@gmail.com,IMYAZI IYAYERESIBWA ITAYEREKANA IMIGEZA Y’OKUBUKWA. NDABWO BUGUMA MUKATI K’OMUFUMU N’OMULWAZI UBWABONEKA.
clear_answers,,,Clear All Answers,,,,,,,,,,,,,,,,
are_you_sure,,,Are you sure?,,,,,,,,,,,,,,,,
